,Пн.,,Дисциплины,Преп-ль,Ауд.,,,Пн.,,Дисциплины,Преп-ль,Ауд.
1,8.00,9.35,,,,,1,8.00,9.35,,,
2,9.50,11.25,,,,,2,9.50,11.25,,,
3,11.40,13.15,<a href="https://edu.agiki.ru/course/view.php?id=51">Проектирование ИС</a>,Баторов А.Р.,ВИ,,3,11.40,13.15,<a href="https://edu.agiki.ru/course/view.php?id=51">Проектирование ИС</a>,Баторов А.Р.,ВИ
4,14.00,15.35,,,,,4,14.00,15.35,,,
5,15.50,17.25,<a href="https://edu.agiki.ru/course/view.php?id=575">Общая физическая подготовка</a>,Скрябина В.Ф.,ВИ,,5,15.50,17.25,<a href="https://edu.agiki.ru/course/view.php?id=575">Общая физическая подготовка</a>,Скрябина В.Ф.,ВИ
6,17.40,19.15,<a href="https://edu.agiki.ru/course/view.php?id=575">Общая физическая подготовка</a>,Скрябина В.Ф.,ВИ,,6,17.40,19.15,,,
,,,,,,,,,,,,
,Вт.,,Дисциплины,Преп-ль,Ауд.,,,Вт.,,Дисциплины,Преп-ль,Ауд.
1,8.00,9.35,,,,,1,8.00,9.35,,,
2,9.50,11.25,<a href="https://edu.agiki.ru/course/view.php?id=68">МИРС</a>,Соловьев В.С.,ВИ,,2,9.50,11.25,<a href="https://edu.agiki.ru/course/view.php?id=68">МИРС</a>,Соловьев В.С.,ВИ
3,11.40,13.15,<a href="https://edu.agiki.ru/course/view.php?id=67">Базы данных</a>,Соловьев В.С.,ВИ,,3,11.40,13.15,<a href="https://edu.agiki.ru/course/view.php?id=67">Базы данных</a>,Соловьев В.С.,ВИ
4,14.00,15.35,<a href="https://edu.agiki.ru/course/view.php?id=67">Базы данных</a>,Соловьев В.С.,ВИ,,4,14.00,15.35,,,
5,15.50,17.25,,,,,5,15.50,17.25,,,
6,17.40,19.15,,,,,6,17.40,19.15,,,
,,,,,,,,,,,,
,Ср.,,Дисциплины,Преп-ль,Ауд.,,,Ср.,,Дисциплины,Преп-ль,Ауд.
1,8.00,9.35,,,,,1,8.00,9.35,,,
2,9.50,11.25,<a href="https://edu.agiki.ru/course/view.php?id=1541">Цифровая фотовидеофиксация</a>,Черкашин В.В.,ВИ/210,,2,9.50,11.25,<a href="https://edu.agiki.ru/course/view.php?id=1541">Цифровая фотовидеофиксация</a>,Черкашин В.В.,ВИ/210
3,11.40,13.15,<a href="https://edu.agiki.ru/course/view.php?id=850">Иностранный язык</a>,Федотова В.Е.,ВИ/212,,3,11.40,13.15,<a href="https://edu.agiki.ru/course/view.php?id=850">Иностранный язык</a>,Федотова В.Е.,ВИ/212
4,14.00,15.35,<a href="https://edu.agiki.ru/course/view.php?id=85">Информационная безопасность</a>,Данилов Э.К.,ВИ/214,,4,14.00,15.35,<a href="https://edu.agiki.ru/course/view.php?id=85">Информационная безопасность</a>,Данилов Э.К.,ВИ/214
5,15.50,17.25,<a href="https://edu.agiki.ru/course/view.php?id=85">Информационная безопасность</a>,Данилов Э.К.,ВИ/214,,5,15.50,17.25,<a href="https://edu.agiki.ru/course/view.php?id=85">Информационная безопасность</a>,Данилов Э.К.,ВИ/214
6,17.40,19.15,,,,,6,17.40,19.15,,,
,,,,,,,,,,,,
,Чт.,,Дисциплины,Преп-ль,Ауд.,,,Чт.,,Дисциплины,Преп-ль,Ауд.
